ID,URL,ชื่ออาคาร,ราคาค่าเช่า,ที่อยู่,จำนวนชั้น,รวมพื้นที่เช่าทั้งหมด,Lat,Lon,Remark
1,https://www.cbre.co.th/th/rent/66-tower,66 ทาวเวอร์,800 - 850 บาท / ตรม. / เดือน,สุขุมวิท 66 แขวงบางนา เขตบางนา กรุงเทพฯ 10260,28,"29,000 ตร.ม.",13.681832,100.60994,
2,https://www.cbre.co.th/th/rent/park-silom,พาร์ค สีลม,"1,400 บาท / ตรม. / เดือน",ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,38,"65,000 ตร.ม.",13.727998,100.53344,
3,https://www.cbre.co.th/th/rent/rasa-two,รสา ทู,850 - 900 บาท / ตรม. / เดือน,ถนนเพชรบุรี แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,29,"45,000 ตร.ม.",13.749012,100.56102,
4,https://www.cbre.co.th/th/rent/ratchada-one-ratchadapisek,รัชดา วัน,500 - 550 บาท / ตรม. / เดือน,ถนนรัชดาภิเษก แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,21,"21,000 ตร.ม.",13.817463,100.57592,
5,https://www.cbre.co.th/th/rent/major-tower-rama9-ramkumhang,เมเจอร์ ทาวเวอร์ พระราม 9 - รามคำแหง,600 - 650 บาท / ตรม. / เดือน,ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,27,"25,181 ตร.ม.",13.74773,100.60659,
6,https://www.cbre.co.th/th/rent/exchange-tower,เอ็กเชนจ์ ทาวเวอร์,"1,300 - 1,400 บาท / ตรม. / เดือน",ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,42,"35,000 ตร.ม.",13.735091,100.561611,
7,https://www.cbre.co.th/th/rent/modernform-tower,โมเดิร์นฟอร์ม ทาวเวอร์,500 บาท / ตรม. / เดือน,ถนน ศรีนครินทร์ แขวง สวนหลวง เขต สวนหลวง กรุงเทพฯ 10250,28,"28,000 ตร.ม.",13.730453,100.641943,
8,https://www.cbre.co.th/th/rent/true-digital-park,ทรู ดิจิทัล พาร์ค,"1,300 บาท / ตรม. / เดือน",ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,16,"38,000 ตร.ม.",13.686158,100.611006,
9,https://www.cbre.co.th/th/rent/the-parq,เดอะ พาร์ค,"1,300 บาท / ตรม. / เดือน",บริเวณแยกรัชดา-พระรามสี่ กรุงเทพฯ (ติด MRT สถานีศูนย์ประชุมแห่งชาติสิริกิติ์),16,"60,000 ตร.ม.",13.720765,100.558547,
10,https://www.cbre.co.th/th/rent/siripinyo-building,อาคารสิริภิญโญ,600 - 650 บาท / ตรม. / เดือน,ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,17,"18,300 ตร.ม.",13.757994,100.535559,
11,https://www.cbre.co.th/th/rent/exchange-tower-fully-fitted,เอ็กซ์เชนจ์ ทาวเวอร์ - พื้นที่สำนักงานตกแต่งแล้ว,"1,300 บาท / ตรม. / เดือน",ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,42,"6,000 ตร.ม.",13.735091,100.561611,
12,https://www.cbre.co.th/th/rent/offices-at-sivatel,ศิวาเทล,920 บาท / ตรม. / เดือน,ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,32,"5,600 ตร.ม.",13.744731,100.548141,
13,https://www.cbre.co.th/th/rent/140-wireless,140 ไวร์เลส,,ถนนวิทยุ กรุงเทพฯ,22,"25,784 ตร.ม.",13.73469,100.54569,
14,https://www.cbre.co.th/th/rent/amarin-tower-ploenchit,อัมรินทร์ ทาวเวอร์,"1,200 บาท / ตรม. / เดือน",ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,22,"24,000 ตร.ม.",13.7437,100.541328,
15,https://www.cbre.co.th/th/rent/summer-lasalle,ซัมเมอร์ ลาซาล,570 บาท / ตรม. / เดือน,ถนนลาซาล แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,3,"46,400 ตร.ม.",13.6624703,100.6135543,
16,https://www.cbre.co.th/th/rent/ubc-ii,อาคาร ยูบีซี 2,890 บาท / ตรม. / เดือน,ถนนสุขุมวิท 33 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,24,"32,000 ตร.ม.",13.732608,100.567759,
17,https://www.cbre.co.th/th/rent/piya-place-langsuan,ปิยะเพลส หลังสวน,650 - 690 บาท / ตรม. / เดือน,ซอยหลังสวน ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,20,"18,000 ตร.ม.",13.743136,100.54383,
18,https://www.cbre.co.th/th/rent/vorasombat-building,อาคารวรสมบัติ,500 - 680 บาท / ตรม. / เดือน,ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพฯ 10310,22,"22,527 ตร.ม.",13.755045,100.57221,
19,https://www.cbre.co.th/th/rent/vongvanij-complex-building-b,ว่องวานิช คอมเพล็กซ์ บี,500 บาท / ตรม. / เดือน,ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,32,"29,000 ตร.ม.",13.755282,100.5727,
20,https://www.cbre.co.th/th/rent/bhiraj-tower-at-sathon,ภิรัช ทาวเวอร์ แอท สาทร,800 บาท / ตรม. / เดือน,ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,แคมปัส A,"3,525 ตร.ม.",13.723758,100.538286,
21,https://www.cbre.co.th/th/rent/bhiraj-tower-at-emquartier,ภิรัชทาวเวอร์ แอท เอ็มควอเทียร์,"1,350 บาท / ตรม. / เดือน",ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,45,"49,732 ตร.ม.",13.730631,100.570049,
22,https://www.cbre.co.th/th/rent/vanit-place-aree,วานิช เพลส อารีย์,900 บาท / ตรม. / เดือน,ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,31,"33,510 ตร.ม.",13.777488,100.54408,
23,https://www.cbre.co.th/th/rent/bhiraj-tower-at-bitec,ภิรัชทาวเวอร์ แอท ไบเทค,825 บาท / ตรม. / เดือน,ถนนสุขุมวิท (สี่แยกบางนา) เขตบางนา กรุงเทพฯ 10260,29 ชัั้น,"32,000 ตร.ม.",13.66971552,100.605852,
24,https://www.cbre.co.th/th/rent/home-office-sukhumvit22,โฮมออฟฟิศ สุขุมวิท 22,450 บาท / ตรม. / เดือน,ซอยสุขุมวิท 22 แขวงพร้อมพงษ์ เขตคลองเตย กรุงเทพมหานคร 10110,2,400 ตร.ม.,13.726086,100.56401,
